[2025-09-10 00:57:19] 开始批量对齐注入流程
[2025-09-10 00:57:19] 文件已对齐，跳过: 01-哲学基础理论/01-本体论基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 01-哲学基础理论/02-认识论基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 01-哲学基础理论/03-方法论基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 02-数学理论体系/01-集合论基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 02-数学理论体系/02-代数基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 02-数学理论体系/03-几何基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 02-数学理论体系/04-分析基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 02-数学理论体系/05-拓扑基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 02-数学理论体系/05-范畴论基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 02-数学理论体系/06-数论基础.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 03-形式语言理论体系/01-自动机统一理论.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 03-形式语言理论体系/02-语法理论.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 03-形式语言理论体系/03-语义理论.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 03-形式语言理论体系/04-类型理论.md
[2025-09-10 00:57:19] 文件已对齐，跳过: 03-形式语言理论体系/05-计算理论.md
[2025-09-10 00:57:19] 批量对齐注入完成
[2025-09-10 00:57:19] 处理文件数: 0
[2025-09-10 00:57:19] 跳过文件数: 15
[2025-09-10 00:57:19] 日志文件: reports/checks/batch-alignment-2025-09-10-005719.log
[2025-09-10 00:57:19] 处理报告已生成: reports/checks/batch-alignment-report-2025-09-10-005719.md
